Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
NKT_154Sm_STAT3_IL246,0.12958106160446137,1.0
NKT_154Sm_STAT3_IFNa,0.13066224151831726,1.0
pDCs_149Sm_CREB_GMCSF,0.1314788302574422,1.0
Granulocytes_149Sm_CREB_IL246,0.13462897651698585,1.0
pDCs_151Eu_p38_unstim,0.1347500070350596,1.0
CD4Tnaive_168Er_STAT6_unstim,0.1369086870770853,1.0
CD8Tem_166Er_NFkB_unstim,0.1377407298059549,1.0
Tregs_166Er_NFkB_IL246,0.13966789518798883,1.0
CD4Tnaive_155Gd_S6_unstim,0.1401191395515347,1.0
CD56hiCD16negNK_166Er_NFkB_IL246,0.14100157851593556,1.0
CD8Tcm_150Nd_STAT5_IFNa,0.14219611929551995,1.0
CD8Tem_156Gd_IkB_IFNa,0.14268210070282647,1.0
intMCs_150Nd_STAT5_IFNa,0.1436554996245456,1.0
cMCs_156Gd_IkB_GMCSF,0.1440505761854984,1.0
CD4negCD8negTcells_151Eu_p38_IFNa,0.14701869618535554,1.0
CD4Tnaive_154Sm_STAT3_IFNa,0.14915110368760565,1.0
Bcells_159Tb_MAPKAPK2_IFNa,0.15718405009535558,1.0
cMCs_156Gd_IkB_IL246,0.15737613996579372,1.0
intMCs_159Tb_MAPKAPK2_unstim,0.1593972588004399,1.0
CD8Teff_168Er_STAT6_IL246,0.15968849468902158,1.0
Granulocytes_166Er_NFkB_IFNa,0.1617710034643796,1.0
CD8Tem_168Er_STAT6_unstim,0.1618167840807826,1.0
CD56loCD16posNK_150Nd_STAT5_IL246,0.1639529867275053,1.0
CD4Teff_159Tb_MAPKAPK2_unstim,0.16521819035199686,1.0
Tregs_155Gd_S6_unstim,0.1661768598794446,1.0
CD56hiCD16negNK_166Er_NFkB_unstim,0.16849342850021268,1.0
CD4negCD8negTcells_167Er_ERK_IFNa,0.1699986760256804,1.0
MDSCs_167Er_ERK_unstim,0.17089731715150966,1.0
CD8Tcm_168Er_STAT6_IL246,0.1728388516747849,1.0
Granulocytes_159Tb_MAPKAPK2_LPS,0.175832234199592,1.0
pDCs_166Er_NFkB_GMCSF,0.1762555094000364,1.0
CD56loCD16posNK_155Gd_S6_IFNa,0.1762779005767311,1.0
CD4Tnaive_166Er_NFkB_unstim,0.1781953348870065,1.0
mDCs_155Gd_S6_LPS,0.17877918443842278,1.0
CD8Tnaive_166Er_NFkB_IFNa,0.1847386014369707,1.0
CD8Tnaive_150Nd_STAT5_IFNa,0.1851935222800754,1.0
ncMCs_166Er_NFkB_IL246,0.18583696244350797,1.0
Tregs_154Sm_STAT3_unstim,0.1863259606485281,1.0
ncMCs_156Gd_IkB_LPS,0.1888520759778122,1.0
ncMCs_153Eu_STAT1_IFNa,0.189890551232635,1.0
CD8Tem_156Gd_IkB_IL246,0.19039927851285288,1.0
ncMCs_168Er_STAT6_GMCSF,0.1908374660360707,1.0
CD4Tnaive_155Gd_S6_IL246,0.19156725362491805,1.0
cMCs_149Sm_CREB_IL246,0.19228683718034714,1.0
pDCs_150Nd_STAT5_IFNa,0.1935007512067481,1.0
CD4Tem_166Er_NFkB_unstim,0.1945023257276339,1.0
Bcells_168Er_STAT6_IL246,0.1959578556501525,1.0
CD4Tnaive_159Tb_MAPKAPK2_unstim,0.1962457966770813,1.0
CD4Teff_167Er_ERK_unstim,0.19653998935230502,1.0
cMCs_155Gd_S6_IL246,0.19812960092535398,1.0
CD4Tem_166Er_NFkB_IL246,0.1990954428210732,1.0
mDCs_156Gd_IkB_unstim,0.20038669450860858,1.0
CD8Tcm_167Er_ERK_IL246,0.20126759222757135,1.0
CD56loCD16posNK_159Tb_MAPKAPK2_IL246,0.20174406066474893,1.0
CD8Teff_156Gd_IkB_IL246,0.20216931125095777,1.0
CD4Tnaive_149Sm_CREB_IL246,0.20546471582499476,1.0
CD8Tcm_154Sm_STAT3_unstim,0.20600833626430656,1.0
pDCs_159Tb_MAPKAPK2_unstim,0.20621712071967488,1.0
CD4Tem_155Gd_S6_unstim,0.20642060924979022,1.0
CD56hiCD16negNK_149Sm_CREB_IL246,0.21148072297260098,1.0
CD4Teff_150Nd_STAT5_IL246,0.21264866990867343,1.0
CD4Tnaive_153Eu_STAT1_unstim,0.21340648202510057,1.0
ncMCs_153Eu_STAT1_unstim,0.21340648202510057,1.0
Bcells_154Sm_STAT3_unstim,0.21340648202510057,1.0
cMCs_168Er_STAT6_unstim,0.21340648202510057,1.0
