,Mann-Whitney U-test,p-value
CD8 T cells_tumorfront_pNFkB,2899.0,0.11468980010584154
CD8 T cells_tumorfront_pp38,2899.0,0.11468980010584154
Vessel_stromal_pERK,2126.0,0.11470348251374538
Tumor proliferating_intratumor_eccentricity,2898.0,0.11558707927776765
Tumor non-proliferating_intratumor_pS6,2896.0,0.11754995584593024
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2891.5,0.11865849683073927
Myeloid Monocytes_tumorfront_CD36,2894.5,0.11898957982556911
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel,2131.5,0.11996178644850058
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2133.0,0.1202104636547912
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,2136.0,0.12158994519257947
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2134.5,0.12180421854336057
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2890.0,0.12209691327257545
Tumor proliferating_tumorfront_GranzymeB,2890.5,0.12290392334493155
Myeloid DCs_tumorfront_pSTAT1,2888.5,0.12375151240163279
B cells_stromal_pp38,2889.0,0.12412509411464409
Tumor proliferating_intratumor_area,2888.5,0.12484709816255282
Myeloid M2 macrophages_stromal_E-Cadherin,2888.5,0.12490836538498941
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2888.0,0.1253643223459019
CD8 T cells_tumorfront_pSTAT3,2885.0,0.1284491388548286
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,2877.0,0.12905372106376095
Tumor non-proliferating_intratumor_pSTAT3,2883.0,0.13052987332697952
Myeloid M2 macrophages_tumorfront_CD44,2882.0,0.1315500122029102
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,2143.0,0.1315726605082971
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,2876.0,0.13195333624447658
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2875.5,0.13324312265704363
B cells_tumorfront_eccentricity,2876.5,0.13421167425318606
Fibroblasts_tumorfront_eccentricity,2878.0,0.13580848784909905
