,Mann-Whitney U-test,p-value
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,830.0,0.021762528259476496
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,828.0,0.022474922148181444
Myeloid Granulocytes_intratumor_cellfrequency,814.0,0.022745857993443412
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,432.0,0.02311764350090183
Myeloid Monocytes_stromal_pSTAT1,828.0,0.02311764350090183
Tumor non-proliferating_intratumor_GranzymeB,828.0,0.02311879507307273
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,827.0,0.023440004893809943
B cells_stromal_pS6,826.0,0.023734963919935858
Tumor non-proliferating_tumorfront_Ki67,827.0,0.023823441353965216
CD4 T cells naive_stromal_pNFkB,826.0,0.024110948819057048
CD8 T cells_stromal_pSTAT1,826.5,0.02417081609118187
B cells_tumorfront_pSTAT1,818.0,0.02431357212826696
CD4 T cells naive_tumorfront_pp38,824.5,0.024476783649044112
Fibroblasts_stromal_aggregatedNeighbors.B.cells,823.5,0.024515314946039216
B cells_tumorfront_aggregatedNeighbors.B.cells,788.0,0.024740424954866804
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,787.0,0.02566572614437414
Vessel_stromal_aggregatedNeighbors.B.cells,823.0,0.025796387360268822
CD4 T cells naive_tumorfront_pNFkB,822.5,0.025989387031962234
CD4 T cells regulatory_stromal_pCREB,824.0,0.02602525748548406
B cells_tumorfront_pS6,816.5,0.026102644268728204
CD4 T cells naive_stromal_pMAPKAPK2,823.0,0.026368058924959078
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,816.5,0.026687528314689464
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,485.5,0.026901243093352456
B cells_intratumor_cellfrequency,736.0,0.02709754315450151
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,822.0,0.027156061652686702
Myeloid Granulocytes_stromal_E-Cadherin,822.0,0.027606829534208146
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,449.0,0.027794090499718264
CD8 T cells_intratumor_cellfrequency,818.0,0.027858082762216012
CD4 T cells memory_tumorfront_pSTAT1,821.0,0.028453491674192283
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,812.0,0.02851951273887561
CD8 T cells_intratumor_VEGF,817.0,0.02870242555180757
CD8 T cells_intratumor_pNFkB,817.0,0.02870242555180757
Tumor proliferating_intratumor_GranzymeB,820.0,0.029135153216471553
Myeloid Monocytes_tumorfront_GranzymeB,820.0,0.029284172234419866
Tumor proliferating_intratumor_pERK,819.0,0.029996218685195055
Tumor proliferating_stromal_cellfrequency,475.0,0.030109303100087328
B cells_tumorfront_celldistance,448.5,0.030397030584583217
Tumor non-proliferating_stromal_CD44,442.0,0.030408509610131487
CD8 T cells_intratumor_pERK,815.0,0.030457394040369516
CD8 T cells_intratumor_pp38,815.0,0.030457394040369516
CD4 T cells memory_stromal_VEGF,818.0,0.031046753590219134
Tumor non-proliferating_tumorfront_pSTAT3,818.0,0.031048163886963607
B cells_tumorfront_cellfrequency,810.5,0.031325176026096684
Myeloid M1 macrophages_tumorfront_cellfrequency,817.0,0.03195654262336629
Myeloid DCs_stromal_VEGF,817.0,0.03195654262336629
B cells_stromal_area,815.0,0.03282581508752703
CD4 T cells regulatory_stromal_pMAPKAPK2,816.0,0.03285829609297973
Tumor proliferating_tumorfront_GranzymeB,815.5,0.03336030738277513
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,765.5,0.033808339531735704
Myeloid M2 macrophages_tumorfront_VEGF,815.0,0.03384180307511734
Fibroblasts_stromal_eccentricity,815.0,0.03384180307511734
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,800.0,0.03413131507187775
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,814.0,0.03479977870025865
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,814.0,0.034813480291279494
B cells_tumorfront_pMAPKAPK2,806.5,0.0352848039282188
CD8 T cells_tumorfront_E-Cadherin,813.0,0.035767074167689185
Myeloid M1 macrophages_tumorfront_pCREB,813.0,0.03582136061273188
Myeloid M2 macrophages_stromal_CD44,813.0,0.03582136061273188
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,451.5,0.03678682179859761
CD8 T cells_tumorfront_pCREB,812.0,0.03679232338851156
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,811.5,0.037334996345318346
CD8 T cells_stromal_E-Cadherin,811.5,0.0373541342120437
Tumor proliferating_tumorfront_pp38,811.5,0.03736848929834164
Tumor proliferating_tumorfront_pNFkB,811.5,0.03736848929834164
B cells_tumorfront_area,804.5,0.03741813875199564
CD8 T cells_stromal_aggregatedNeighbors.B.cells,807.5,0.037882902684621
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,811.0,0.0378907834252211
Vessel_stromal_pSTAT3,811.0,0.03789883236052313
Myeloid DCs_stromal_pNFkB,811.0,0.03789883236052313
CD8 T cells_stromal_Ki67,810.5,0.038417684867271436
CD8 T cells_stromal_VEGF,810.5,0.038417684867271436
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,809.5,0.03876915144704502
B cells_tumorfront_pERK,800.0,0.03985311944788763
CD8 T cells_tumorfront_CD36,809.0,0.040019489067254145
CD4 T cells memory_tumorfront_pNFkB,809.0,0.04007623880514959
Tumor non-proliferating_tumorfront_cellfrequency,451.0,0.040077908212802146
Fibroblasts_stromal_pp38,809.0,0.040077908212802146
B cells_tumorfront_eccentricity,801.5,0.040828102174488734
Tumor non-proliferating_tumorfront_area,452.0,0.04120672007836464
CD4 T cells naive_tumorfront_pCREB,806.5,0.04126678722392723
Myeloid Granulocytes_stromal_pMAPKAPK2,807.0,0.042327750196925404
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,800.0,0.04262111119875493
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,806.5,0.04290499381248813
